inn,normalized_inn,mfds_item_seq,mfds_item_name,mfds_company,mfds_date,mfds_is_new_drug,mfds_is_prescription,ema_brand_name,ema_date,ema_is_orphan,ema_is_prime,ema_is_conditional,ema_is_accelerated,ema_therapeutic_area,ema_atc_code,days_ema_to_mfds,mfds_before_ema,atc_level1,atc_level2,ema_year,ema_month
Ibuprofen,ibuprofen,197700120,부루펜정200밀리그램(이부프로펜),삼일제약(주),1977-01-21,False,False,Pedea,2004-07-28,False,False,False,False,"Ductus Arteriosus, Patent",C01EB16,-10050,True,C,C01,2004,7
Dopamine Hydrochloride,dopamine,197800042,도푸라민주(도파민염산염),이연제약(주),1978-09-01,False,True,Neoatricon,2024-05-27,False,False,False,False,Hypotension,C01CA04,-16705,True,C,C01,2024,5
Dexamethasone,dexamethasone,197800388,신일덱사메타손정,신일제약(주),1978-05-15,False,True,Ozurdex,2010-07-26,False,False,False,False,Macular Edema;Uveitis,S01BA01,-11760,True,S,S01,2010,7
Oxygen,oxygen,197800432,"피에스지해동의료용산소
",(주)피에스지,1978-03-23,False,True,Medicinal Oxygen Air Liquide Sante,2006-12-20,False,False,False,False,,QV03AN01,-10499,True,Q,QV0,2006,12
Methotrexate,methotrexate,197900070,엠티엑스주(메토트렉세이트),제이더블유중외제약(주),1979-01-09,False,True,Nordimet,2016-08-18,False,False,False,False,"Arthritis, Psoriatic;Psoriasis;Arthritis, Juvenile Rheumatoid;Arthritis, Rheumatoid",L04AX03,-13736,True,L,L04,2016,8
Tobramycin,tobramycin,197900134,토브라주80밀리그램(토브라마이신),(주)대웅제약,1979-06-01,False,True,Tobi Podhaler,2011-07-20,False,False,False,False,Cystic Fibrosis;Respiratory Tract Infections,J01GB01,-11737,True,J,J01,2011,7
Methotrexate,methotrexate,197900145,유한메토트렉세이트정,(주)유한양행,1979-11-19,False,True,Nordimet,2016-08-18,False,False,False,False,"Arthritis, Psoriatic;Psoriasis;Arthritis, Juvenile Rheumatoid;Arthritis, Rheumatoid",L04AX03,-13422,True,L,L04,2016,8
Oxygen,oxygen,197900526,한성산소(의료용),한성산업(주),1979-11-02,False,True,Medicinal Oxygen Air Liquide Sante,2006-12-20,False,False,False,False,,QV03AN01,-9910,True,Q,QV0,2006,12
Propranolol Hydrochloride,propranolol,198100091,테프라정40밀리그램(프로프라놀롤염산염),한올바이오파마(주),1981-02-26,False,True,Hemangiol,2014-04-23,False,False,False,False,Hemangioma,C07AA05,-12109,True,C,C07,2014,4
Hydrocortisone,hydrocortisone,198100234,제이알히드로코르티손연고,(주)비보존제약,1981-07-20,False,False,Plenadren,2011-11-03,False,False,False,False,Adrenal Insufficiency,H02AB09,-11063,True,H,H02,2011,11
Atropine,atropine,198100655,삼양아트로핀주사제,삼양화학공업(주),1981-05-25,False,True,Ryjunea,2025-06-02,False,False,False,False,Myopia,S01FA01,-16079,True,S,S01,2025,6
Oxygen,oxygen,198100670,경북의료용산소,경북산소(주),1981-07-10,False,True,Medicinal Oxygen Air Liquide Sante,2006-12-20,False,False,False,False,,QV03AN01,-9294,True,Q,QV0,2006,12
Oxygen,oxygen,198100690,린데코리아의료용산소,린데코리아주식회사,1981-12-26,False,True,Medicinal Oxygen Air Liquide Sante,2006-12-20,False,False,False,False,,QV03AN01,-9125,True,Q,QV0,2006,12
Bupivacaine Hydrochloride Hydrate,bupivacaine,198200053,푸카인0.5%주사(부피바카인염산염일수화물),이연제약(주),1982-10-15,False,True,Exparel liposomal,2020-11-16,False,False,False,False,Acute Pain,N01BB01,-13912,True,N,N01,2020,11
Amikacin Sulfate,amikacin,198200255,아믹탐주사액250밀리그램(아미카신황산염)(수출명:Amikin),케이엠에스제약(주),1982-03-30,False,True,Arikayce liposomal,2020-10-27,True,False,False,False,Respiratory Tract Infections,J01GB06,-14091,True,J,J01,2020,10
Naloxone Hydrochloride,naloxone,198200406,삼진날록손염산염주사,삼진제약(주),1982-07-05,False,True,Nyxoid,2017-11-09,False,False,False,False,Opiate Overdose,V03AB15,-12911,True,V,V03,2017,11
Dopamine Hydrochloride,dopamine,198200871,트로핀주사200밀리그람(염산도파민),한림제약(주),1982-07-14,False,True,Neoatricon,2024-05-27,False,False,False,False,Hypotension,C01CA04,-15293,True,C,C01,2024,5
Oxygen,oxygen,198200921,호남의료용산소,호남고압가스,1982-01-07,False,True,Medicinal Oxygen Air Liquide Sante,2006-12-20,False,False,False,False,,QV03AN01,-9113,True,Q,QV0,2006,12
Ribavirin,ribavirin,198200958,바이라미드캡슐100mg(리바비린),일성아이에스(주),1982-09-09,False,True,Rebetol,1999-05-06,False,False,False,False,"Hepatitis C, Chronic",J05AP01,-6083,True,J,J05,1999,5
Oxygen,oxygen,198200968,아주의료용산소,아주산소(주),1982-12-02,False,True,Medicinal Oxygen Air Liquide Sante,2006-12-20,False,False,False,False,,QV03AN01,-8784,True,Q,QV0,2006,12
Ibuprofen,ibuprofen,198300343,부루펜정400밀리그램(이부프로펜),삼일제약(주),1983-02-01,False,False,Pedea,2004-07-28,False,False,False,False,"Ductus Arteriosus, Patent",C01EB16,-7848,True,C,C01,2004,7
Oxygen,oxygen,198301184,덕양가스의료용산소,(주)덕양가스,1983-11-17,False,True,Medicinal Oxygen Air Liquide Sante,2006-12-20,False,False,False,False,,QV03AN01,-8434,True,Q,QV0,2006,12
Ibuprofen,ibuprofen,198400131,스코펜정400밀리그램(이부프로펜),(주)에이프로젠바이오로직스,1984-02-23,False,False,Pedea,2004-07-28,False,False,False,False,"Ductus Arteriosus, Patent",C01EB16,-7461,True,C,C01,2004,7
Epinephrine,epinephrine,198400285,제일에피네프린주사액,(주)제일제약,1984-11-14,False,True,Eurneffy,2024-08-22,False,False,False,False,Anaphylaxis,C01CA24,-14526,True,C,C01,2024,8
Dopamine Hydrochloride,dopamine,198401120,명문이노판주(도파민염산염),명문제약(주),1984-05-18,False,True,Neoatricon,2024-05-27,False,False,False,False,Hypotension,C01CA04,-14619,True,C,C01,2024,5
Dopamine Hydrochloride,dopamine,198501385,휴온스도파민주사액(도파민염산염)[수출명:DOPACEFINJ.],(주)휴온스,1985-04-03,False,True,Neoatricon,2024-05-27,False,False,False,False,Hypotension,C01CA04,-14299,True,C,C01,2024,5
Oxybutynin Hydrochloride,oxybutynin,198600437,동화디트로판정(옥시부티닌염산염),동화약품(주),1986-11-20,False,True,Kentera (previously Oxybutynin Nicobrand),2004-06-15,False,False,False,False,"Urinary Incontinence, Urge",G04BD04,-6417,True,G,G04,2004,6
Oxygen,oxygen,198601563,경남의료용산소,경남산소,1986-04-24,False,True,Medicinal Oxygen Air Liquide Sante,2006-12-20,False,False,False,False,,QV03AN01,-7545,True,Q,QV0,2006,12
Ibuprofen,ibuprofen,198601920,어린이부루펜시럽(이부프로펜),삼일제약(주),1986-08-14,False,False,Pedea,2004-07-28,False,False,False,False,"Ductus Arteriosus, Patent",C01EB16,-6558,True,C,C01,2004,7
Ibuprofen,ibuprofen,198700315,캐롤시럽(이부프로펜),일동제약(주),1987-07-22,False,False,Pedea,2004-07-28,False,False,False,False,"Ductus Arteriosus, Patent",C01EB16,-6216,True,C,C01,2004,7
Tobramycin,tobramycin,198700401,토브라점안액(토브라마이신),(주)대웅제약,1987-09-18,False,True,Tobi Podhaler,2011-07-20,False,False,False,False,Cystic Fibrosis;Respiratory Tract Infections,J01GB01,-8706,True,J,J01,2011,7
Naloxone Hydrochloride,naloxone,198700925,삼진날록손염산염주사2밀리그램,삼진제약(주),1987-04-22,False,True,Nyxoid,2017-11-09,False,False,False,False,Opiate Overdose,V03AB15,-11159,True,V,V03,2017,11
Ibuprofen,ibuprofen,198701124,오스틴이부프로펜정400밀리그램,오스틴제약(주),1987-05-01,False,False,Pedea,2004-07-28,False,False,False,False,"Ductus Arteriosus, Patent",C01EB16,-6298,True,C,C01,2004,7
Oxygen,oxygen,198702190,단일의료용산소,단일시스켐(주),1987-11-30,False,True,Medicinal Oxygen Air Liquide Sante,2006-12-20,False,False,False,False,,QV03AN01,-6960,True,Q,QV0,2006,12
Enalapril Maleate,enalapril,198800153,에나프린정10밀리그램(에날라프릴말레산염),(주)종근당,1988-12-29,False,True,Aqumeldi,2023-11-15,False,False,False,False,Heart Failure,C09AA02,-12739,True,C,C09,2023,11
Tobramycin,tobramycin,198800705,알보젠황산토브라마이신주80밀리그램,알보젠코리아(주),1988-09-27,False,True,Tobi Podhaler,2011-07-20,False,False,False,False,Cystic Fibrosis;Respiratory Tract Infections,J01GB01,-8331,True,J,J01,2011,7
Ibuprofen,ibuprofen,198800776,이부펜정400mg(이부프로펜),태극제약(주),1988-11-16,False,False,Pedea,2004-07-28,False,False,False,False,"Ductus Arteriosus, Patent",C01EB16,-5733,True,C,C01,2004,7
Amikacin Sulfate,amikacin,198900066,신풍아미카신황산염주사액250밀리그램(수출명:AMIKAYE Injection 250mg),신풍제약(주),1989-07-10,False,True,Arikayce liposomal,2020-10-27,True,False,False,False,Respiratory Tract Infections,J01GB06,-11432,True,J,J01,2020,10
Amikacin Sulfate,amikacin,198900080,신풍아미카신황산염주사액500밀리그램(수출명:AMIKAYE Injection),신풍제약(주),1989-07-10,False,True,Arikayce liposomal,2020-10-27,True,False,False,False,Respiratory Tract Infections,J01GB06,-11432,True,J,J01,2020,10
Doxorubicin Hydrochloride,doxorubicin,198900220,주사용독소루비신메이지50밀리그람(수출용),동아에스티(주),1989-12-22,False,True,Caelyx pegylated liposomal,1996-06-20,False,False,False,False,"Sarcoma, Kaposi;Multiple Myeloma;Ovarian Neoplasms;Breast Neoplasms",L01DB,-2372,True,L,L01,1996,6
Doxorubicin Hydrochloride,doxorubicin,198900221,주사용독소루비신메이지10밀리그람(수출용),동아에스티(주),1989-12-23,False,True,Caelyx pegylated liposomal,1996-06-20,False,False,False,False,"Sarcoma, Kaposi;Multiple Myeloma;Ovarian Neoplasms;Breast Neoplasms",L01DB,-2371,True,L,L01,1996,6
Cytarabine,cytarabine,198900253,중외시타라빈주사액100밀리그램(수출용),제이더블유중외제약(주),1989-09-18,False,True,DepoCyte,2001-07-11,False,False,False,False,Meningeal Neoplasms,L01BC01,-4314,True,L,L01,2001,7
Dopamine Hydrochloride,dopamine,198900521,제일도파민염산염주사액(수출용),(주)제일제약,1989-05-25,False,True,Neoatricon,2024-05-27,False,False,False,False,Hypotension,C01CA04,-12786,True,C,C01,2024,5
Ibuprofen,ibuprofen,198900550,로그펜정400밀리그람(이부프로펜)(수출용),(주)마더스제약,1989-03-03,False,False,Pedea,2004-07-28,False,False,False,False,"Ductus Arteriosus, Patent",C01EB16,-5626,True,C,C01,2004,7
Ibuprofen,ibuprofen,198901310,콜대원키즈이부펜시럽(이부프로펜),대원제약(주),1989-02-02,False,False,Pedea,2004-07-28,False,False,False,False,"Ductus Arteriosus, Patent",C01EB16,-5655,True,C,C01,2004,7
Hydroxocobalamin,hydroxocobalamin,198901883,라노빈주사액(히드록소코발라민)(수출명: HYCODON Injection),알보젠코리아(주),1989-05-04,False,True,Cyanokit,2007-11-23,False,False,False,False,Poisoning,V03AB33,-6777,True,V,V03,2007,11
Ibuprofen,ibuprofen,198901915,신일이부프로펜정400밀리그람(수출명:IFENTab.),신일제약(주),1989-04-07,False,False,Pedea,2004-07-28,False,False,False,False,"Ductus Arteriosus, Patent",C01EB16,-5591,True,C,C01,2004,7
Naloxone Hydrochloride,naloxone,198902239,휴온스날록손염산염주사(수출용),(주)휴온스,1989-03-10,False,True,Nyxoid,2017-11-09,False,False,False,False,Opiate Overdose,V03AB15,-10471,True,V,V03,2017,11
Dexamethasone,dexamethasone,198902460,페리덱스연고(덱사메타손),(주)녹십자,1989-12-02,False,False,Ozurdex,2010-07-26,False,False,False,False,Macular Edema;Uveitis,S01BA01,-7541,True,S,S01,2010,7
Ketoconazole,ketoconazole,199000035,안타나졸크림(케토코나졸)(수출용),신풍제약(주),1990-06-18,False,False,Ketoconazole Esteve (previously Ketoconazole HRA),2014-11-18,False,False,False,True,Cushing Syndrome,J02AB02,-8919,True,J,J02,2014,11
Zonisamide,zonisamide,199000165,엑세그란정(조니사미드),동아에스티(주),1990-05-28,False,True,Zonegran,2005-03-10,False,False,False,False,"Epilepsies, Partial",N03AX15,-5400,True,N,N03,2005,3
Doxorubicin Hydrochloride,doxorubicin,199000353,일동아드리아마이신피.에프.에스.주사액10밀리그램(독소루비신염산염),일동제약(주),1990-09-10,False,True,Caelyx pegylated liposomal,1996-06-20,False,False,False,False,"Sarcoma, Kaposi;Multiple Myeloma;Ovarian Neoplasms;Breast Neoplasms",L01DB,-2110,True,L,L01,1996,6
Doxorubicin Hydrochloride,doxorubicin,199000354,일동아드리아마이신피.에프.에스.주사액50밀리그램(독소루비신염산염),일동제약(주),1990-09-10,False,True,Caelyx pegylated liposomal,1996-06-20,False,False,False,False,"Sarcoma, Kaposi;Multiple Myeloma;Ovarian Neoplasms;Breast Neoplasms",L01DB,-2110,True,L,L01,1996,6
Methotrexate,methotrexate,199000548,유한메토트렉세이트주사액25밀리그램/밀리리터,(주)유한양행,1990-01-08,False,True,Nordimet,2016-08-18,False,False,False,False,"Arthritis, Psoriatic;Psoriasis;Arthritis, Juvenile Rheumatoid;Arthritis, Rheumatoid",L04AX03,-9719,True,L,L04,2016,8
Enalapril Maleate,enalapril,199000574,에포트릴정(에날라프릴말레산염)(수출용),코오롱제약(주),1990-11-15,False,True,Aqumeldi,2023-11-15,False,False,False,False,Heart Failure,C09AA02,-12053,True,C,C09,2023,11
Naloxone Hydrochloride,naloxone,199000967,명인염산나록손주0.4밀리그램(수출용),명인제약(주),1990-03-20,False,True,Nyxoid,2017-11-09,False,False,False,False,Opiate Overdose,V03AB15,-10096,True,V,V03,2017,11
Naloxone Hydrochloride,naloxone,199000968,명인염산나록손주2밀리그램(수출용),명인제약(주),1990-03-20,False,True,Nyxoid,2017-11-09,False,False,False,False,Opiate Overdose,V03AB15,-10096,True,V,V03,2017,11
Doxorubicin Hydrochloride,doxorubicin,199001007,에이디마이신주사액(독소루비신염산염),(주)보령,1990-11-22,False,True,Caelyx pegylated liposomal,1996-06-20,False,False,False,False,"Sarcoma, Kaposi;Multiple Myeloma;Ovarian Neoplasms;Breast Neoplasms",L01DB,-2037,True,L,L01,1996,6
Methotrexate,methotrexate,199001013,네오메토주(메토트렉세이트)(수출명:MethotrexateKalbe),(주)보령,1990-07-03,False,True,Nordimet,2016-08-18,False,False,False,False,"Arthritis, Psoriatic;Psoriasis;Arthritis, Juvenile Rheumatoid;Arthritis, Rheumatoid",L04AX03,-9543,True,L,L04,2016,8
Ibuprofen,ibuprofen,199001302,파마이부프로펜정(수출명1:펜스탑정수출명2:유프로정400(UPROTab400))(수출용),(주)한국파마,1990-08-29,False,False,Pedea,2004-07-28,False,False,False,False,"Ductus Arteriosus, Patent",C01EB16,-5082,True,C,C01,2004,7
Enalapril Maleate,enalapril,199001919,에날정(에날라프릴말레산염),위더스제약(주),1990-06-01,False,True,Aqumeldi,2023-11-15,False,False,False,False,Heart Failure,C09AA02,-12220,True,C,C09,2023,11
Oxygen,oxygen,199002663,대일의료용산소,(주)대일가스,1990-08-07,False,True,Medicinal Oxygen Air Liquide Sante,2006-12-20,False,False,False,False,,QV03AN01,-5979,True,Q,QV0,2006,12
Naloxone Hydrochloride,naloxone,199100062,동국염산나록손0.4밀리그람주사(프리필드)파키스탄수출용(Nalex(NaloxoneHCL)0.4mg/mlPrefilledInjection,동국제약(주),1991-10-04,False,True,Nyxoid,2017-11-09,False,False,False,False,Opiate Overdose,V03AB15,-9533,True,V,V03,2017,11
Tobramycin,tobramycin,199100322,"트로나점안액(토브라마이신)(수출명:국제트로나점안액,비제토신점안액)",국제약품(주),1991-02-18,False,True,Tobi Podhaler,2011-07-20,False,False,False,False,Cystic Fibrosis;Respiratory Tract Infections,J01GB01,-7457,True,J,J01,2011,7
Ibuprofen,ibuprofen,199100705,어린이알리펜시럽(이부프로펜)(수출명:이부돌시럽),대우제약(주),1991-01-09,False,False,Pedea,2004-07-28,False,False,False,False,"Ductus Arteriosus, Patent",C01EB16,-4949,True,C,C01,2004,7
Enalapril Maleate,enalapril,199100749,에날린정(에날라프릴말레산염),동화약품(주),1991-12-11,False,True,Aqumeldi,2023-11-15,False,False,False,False,Heart Failure,C09AA02,-11662,True,C,C09,2023,11
Ketoconazole,ketoconazole,199101243,더마졸정(케토코나졸)(수출용),(주)동구바이오제약,1991-07-22,False,True,Ketoconazole Esteve (previously Ketoconazole HRA),2014-11-18,False,False,False,True,Cushing Syndrome,J02AB02,-8520,True,J,J02,2014,11
Methotrexate,methotrexate,199101496,유니트렉세이트주25mg/ml(메토트렉세이트)(수출명:PterinInj),한국유나이티드제약(주),1991-07-30,False,True,Nordimet,2016-08-18,False,False,False,False,"Arthritis, Psoriatic;Psoriasis;Arthritis, Juvenile Rheumatoid;Arthritis, Rheumatoid",L04AX03,-9151,True,L,L04,2016,8
Ibuprofen,ibuprofen,199102092,다이야펜정400밀리그램(이부프로펜),미래바이오제약(주),1991-05-25,False,False,Pedea,2004-07-28,False,False,False,False,"Ductus Arteriosus, Patent",C01EB16,-4813,True,C,C01,2004,7
Ibuprofen,ibuprofen,199102476,하원이부프로펜정400mg,(주)하원제약,1991-08-28,False,False,Pedea,2004-07-28,False,False,False,False,"Ductus Arteriosus, Patent",C01EB16,-4718,True,C,C01,2004,7
Dopamine Hydrochloride,dopamine,199102787,트로핀주사400밀리그램(염산도파민),한림제약(주),1991-04-22,False,True,Neoatricon,2024-05-27,False,False,False,False,Hypotension,C01CA04,-12089,True,C,C01,2024,5
Enalapril Maleate,enalapril,199200104,에카릴정10밀리그람(에날라프릴말레산염)(수출명 : SHINAPRIL Tablet)(수출용),신풍제약(주),1992-03-27,False,True,Aqumeldi,2023-11-15,False,False,False,False,Heart Failure,C09AA02,-11555,True,C,C09,2023,11
Amikacin Sulfate,amikacin,199200930,삼천당아미카신주250mg(아미카신황산염),삼천당제약(주),1992-10-20,False,True,Arikayce liposomal,2020-10-27,True,False,False,False,Respiratory Tract Infections,J01GB06,-10234,True,J,J01,2020,10
Ketoconazole,ketoconazole,199201463,"니토졸액(케토코나졸)(수출용)(수출명 : 니토졸샴푸, 나코나졸샴푸, 니코나졸샴푸)",(주)한국파마,1992-06-22,False,False,Ketoconazole Esteve (previously Ketoconazole HRA),2014-11-18,False,False,False,True,Cushing Syndrome,J02AB02,-8184,True,J,J02,2014,11
Doxorubicin Hydrochloride,doxorubicin,199201594,"한국유나이티드염산독소루비신주50밀리그램(수출명:AdrosalforInj.50mg,AdricinforInj.50mg,AxibinforInj.50mg,DoxocinforInj.50mg,DubicinforInj.50mg,AdorucinforInj.50mg)(수출용)",한국유나이티드제약(주),1992-12-28,False,True,Caelyx pegylated liposomal,1996-06-20,False,False,False,False,"Sarcoma, Kaposi;Multiple Myeloma;Ovarian Neoplasms;Breast Neoplasms",L01DB,-1270,True,L,L01,1996,6
Doxorubicin Hydrochloride,doxorubicin,199201595,"한국유나이티드염산독소루비신주(수출명:AdrosalforInj.10mg,AdricinforInj.10mg,AxibinforInj.10mg,DoxocinforInj.10mg,DubicinforInj.10mg,AdorucinforInj.10mg)(수출용)",한국유나이티드제약(주),1992-12-28,False,True,Caelyx pegylated liposomal,1996-06-20,False,False,False,False,"Sarcoma, Kaposi;Multiple Myeloma;Ovarian Neoplasms;Breast Neoplasms",L01DB,-1270,True,L,L01,1996,6
Ketoconazole,ketoconazole,199201802,코모졸크림(케토코나졸)(수출명:NAZOL),대화제약(주),1992-06-18,False,False,Ketoconazole Esteve (previously Ketoconazole HRA),2014-11-18,False,False,False,True,Cushing Syndrome,J02AB02,-8188,True,J,J02,2014,11
Ketoconazole,ketoconazole,199202073,나졸액(케토코나졸),한미약품(주),1992-12-28,False,False,Ketoconazole Esteve (previously Ketoconazole HRA),2014-11-18,False,False,False,True,Cushing Syndrome,J02AB02,-7995,True,J,J02,2014,11
Amikacin Sulfate,amikacin,199202915,아디칸주사액250밀리그램(아미카신황산염)(수출명:유니디칸주),유니메드제약(주),1992-09-25,False,True,Arikayce liposomal,2020-10-27,True,False,False,False,Respiratory Tract Infections,J01GB06,-10259,True,J,J01,2020,10
Amikacin Sulfate,amikacin,199202953,"아디칸주사액500밀리그램(아미카신황산염)(수출명:황산아미카신주500밀리그램, 유니카신주500밀리그램, 유카젝트500밀리그램, 유니디칸주)",유니메드제약(주),1992-09-25,False,True,Arikayce liposomal,2020-10-27,True,False,False,False,Respiratory Tract Infections,J01GB06,-10259,True,J,J01,2020,10
Oxygen,oxygen,199203057,대창의료용산소,(주)대창가스,1992-01-10,False,True,Medicinal Oxygen Air Liquide Sante,2006-12-20,False,False,False,False,,QV03AN01,-5458,True,Q,QV0,2006,12
Oxygen,oxygen,199203238,나주의료용산소,나주신일가스주식회사,1992-02-24,False,True,Medicinal Oxygen Air Liquide Sante,2006-12-20,False,False,False,False,,QV03AN01,-5413,True,Q,QV0,2006,12
Oxygen,oxygen,199203239,광주대창의료용산소,대창가스공업사,1992-05-15,False,True,Medicinal Oxygen Air Liquide Sante,2006-12-20,False,False,False,False,,QV03AN01,-5332,True,Q,QV0,2006,12
Azathioprine,azathioprine,199203272,이뮤란정(아자티오프린),삼일제약(주),1992-09-25,False,True,Jayempi,2021-06-21,False,False,False,False,Graft Rejection,L04AX01,-10496,True,L,L04,2021,6
Doxorubicin Hydrochloride,doxorubicin,199203366,독소루빈주사0.2%(독소루비신염산염),(주)한독테바,1992-12-29,False,True,Caelyx pegylated liposomal,1996-06-20,False,False,False,False,"Sarcoma, Kaposi;Multiple Myeloma;Ovarian Neoplasms;Breast Neoplasms",L01DB,-1269,True,L,L01,1996,6
Bupivacaine Hydrochloride Hydrate,bupivacaine,199203554,명문염산부피바카인0.5%주(수출용),명문제약(주),1992-03-30,False,True,Exparel liposomal,2020-11-16,False,False,False,False,Acute Pain,N01BB01,-10458,True,N,N01,2020,11
Ibuprofen,ibuprofen,199300224,베비잘시럽(이부프로펜),(주)종근당,1993-11-17,False,False,Pedea,2004-07-28,False,False,False,False,"Ductus Arteriosus, Patent",C01EB16,-3906,True,C,C01,2004,7
Tobramycin,tobramycin,199300663,토브라주100밀리그램(토브라마이신),(주)대웅제약,1993-02-01,False,True,Tobi Podhaler,2011-07-20,False,False,False,False,Cystic Fibrosis;Respiratory Tract Infections,J01GB01,-6743,True,J,J01,2011,7
Ketoconazole,ketoconazole,199301086,태극케토코나졸크림,태극제약(주),1993-05-11,False,False,Ketoconazole Esteve (previously Ketoconazole HRA),2014-11-18,False,False,False,True,Cushing Syndrome,J02AB02,-7861,True,J,J02,2014,11
Amikacin Sulfate,amikacin,199301170,명인아미카신주250밀리그램(황산아미카신)(수출용),명인제약(주),1993-01-07,False,True,Arikayce liposomal,2020-10-27,True,False,False,False,Respiratory Tract Infections,J01GB06,-10155,True,J,J01,2020,10
Amikacin Sulfate,amikacin,199301171,명인아미카신주500밀리그램(황산아미카신)(수출용),명인제약(주),1993-01-07,False,True,Arikayce liposomal,2020-10-27,True,False,False,False,Respiratory Tract Infections,J01GB06,-10155,True,J,J01,2020,10
Enalapril Maleate,enalapril,199301196,에이린정10밀리그램(에날라프릴말레산염)(수출용),명인제약(주),1993-01-11,False,True,Aqumeldi,2023-11-15,False,False,False,False,Heart Failure,C09AA02,-11265,True,C,C09,2023,11
Naloxone Hydrochloride,naloxone,199301658,삼진날록손염산염주사5밀리그램,삼진제약(주),1993-05-06,False,True,Nyxoid,2017-11-09,False,False,False,False,Opiate Overdose,V03AB15,-8953,True,V,V03,2017,11
Ibuprofen,ibuprofen,199302363,이부서스펜시럽(이부프로펜),한미약품(주),1993-11-15,False,False,Pedea,2004-07-28,False,False,False,False,"Ductus Arteriosus, Patent",C01EB16,-3908,True,C,C01,2004,7
Ibuprofen,ibuprofen,199302515,리오루펜정400밀리그람(이부프로펜),알파제약(주),1993-05-04,False,False,Pedea,2004-07-28,False,False,False,False,"Ductus Arteriosus, Patent",C01EB16,-4103,True,C,C01,2004,7
Enalapril Maleate,enalapril,199302812,에프린정(에날라프릴말레산염),명문제약(주),1993-03-31,False,True,Aqumeldi,2023-11-15,False,False,False,False,Heart Failure,C09AA02,-11186,True,C,C09,2023,11
Levofloxacin Hydrate,levofloxacin,199400369,레보펙신정(레보플록사신수화물),일동제약(주),1994-08-17,False,True,Quinsair,2015-03-25,False,False,False,False,Cystic Fibrosis;Respiratory Tract Infections,J01MA12,-7525,True,J,J01,2015,3
Levofloxacin,levofloxacin,199400461,제일크라비트정(레보플록사신),제일약품(주),1994-04-30,False,True,Quinsair,2015-03-25,False,False,False,False,Cystic Fibrosis;Respiratory Tract Infections,J01MA12,-7634,True,J,J01,2015,3
Tobramycin,tobramycin,199400547,"오큐라신점안액(토브라마이신)(수출명: OcuRacin 오큐라신, BeeOcuRacin 비오큐라신, Samitot 사미토트)",삼일제약(주),1994-02-28,False,True,Tobi Podhaler,2011-07-20,False,False,False,False,Cystic Fibrosis;Respiratory Tract Infections,J01GB01,-6351,True,J,J01,2011,7
