inn,normalized_inn,fda_date,fda_brand_name,fda_sponsor,mfds_date,mfds_item_name,mfds_company,days_fda_to_mfds,mfds_before_fda
Silver Sulfadiazine,silver sulfadiazine,1978-01-31,SILVER SULFADIAZINE,KING PHARMS LLC,1976-06-17,일바돈크림(설파디아진은),일동제약(주),-593,True
Cefazolin Sodium,cefazolin,2022-10-07,CEFAZOLIN,HIKMA,1976-02-13,"유한세파졸린주사1000mg(수출명:오리졸린주1000mg,메디세파졸린1000mg,유한세졸주1000mg,마이코신주, 레프졸린주)",(주)유한양행,-17038,True
Loperamide Hydrochloride,loperamide,1988-12-06,IMODIUM A-D,KENVUE BRANDS,1976-04-14,로프민캡슐(로페라미드염산염),영일제약(주),-4619,True
Sodium Chloride,chloride,1981-02-23,SODIUM CHLORIDE,BAXTER HLTHCARE,1977-09-05,대한염화나트륨-40주사액,대한약품공업(주),-1267,True
Ibuprofen,ibuprofen,2000-01-18,ADVIL COLD AND SINUS,HALEON US HOLDINGS,1977-01-21,부루펜정200밀리그램(이부프로펜),삼일제약(주),-8397,True
Triamcinolone Acetonide,triamcinolone acetonide,2007-11-29,TRIESENCE,HARROW EYE,1978-05-15,트리코트크림0.1%(트리암시놀론아세토니드),동광제약(주),-10790,True
Loperamide Hydrochloride,loperamide,1988-12-06,IMODIUM A-D,KENVUE BRANDS,1978-10-25,로파인캡슐(로페라미드염산염),태극제약(주),-3695,True
Dexamethasone,dexamethasone,2018-02-09,DEXYCU,EYEPOINT PHARMS,1978-05-15,신일덱사메타손정,신일제약(주),-14515,True
Oxygen,oxygen,2013-07-23,OXYGEN,ASPEN AIR,1978-03-23,"피에스지해동의료용산소
",(주)피에스지,-12906,True
Allopurinol,allopurinol,2020-08-28,ALOPRIM,MYLAN,1979-11-01,유유알로푸리놀정,(주)유유제약,-14911,True
Tobramycin,tobramycin,2003-03-18,TOBREX,NOVARTIS,1979-06-01,토브라주80밀리그램(토브라마이신),(주)대웅제약,-8691,True
Lidocaine Hydrochloride Hydrate,lidocaine,2014-09-29,ZINGO,POWDER PHARMS,1979-08-10,제일리도카인주사액,(주)제일제약,-12834,True
Oxygen,oxygen,2013-07-23,OXYGEN,ASPEN AIR,1979-11-02,한성산소(의료용),한성산업(주),-12317,True
Cefoxitin Sodium,cefoxitin,2013-06-05,CEFOXITIN AND DEXTROSE,B BRAUN,1980-08-26,파세틴주(세폭시틴나트륨),제이더블유중외제약(주),-11971,True
Doxycycline Hyclate Hydrate,doxycycline hyclate,2017-11-15,DOXYCYCLINE HYCLATE,CHARTWELL RX,1980-08-27,국제독시사이클린하이클레이트수화물캡슐100밀리그램,국제약품(주),-13594,True
Nitrous Oxide,nitrous oxide,2017-01-09,NITROUS OXIDE,MATHESON TRI-GAS INC,1980-11-03,석전아산화질소,석전의료공업(주),-13216,True
Triamcinolone Acetonide,triamcinolone acetonide,2007-11-29,TRIESENCE,HARROW EYE,1981-04-17,유데노론주사(트리암시놀론아세토니드),국제약품(주),-9722,True
Propranolol Hydrochloride,propranolol,2007-01-03,INDERAL LA,ANI PHARMS,1981-02-26,테프라정40밀리그램(프로프라놀롤염산염),한올바이오파마(주),-9442,True
Metoprolol Tartrate,metoprolol tartrate,1989-01-03,LOPRESSOR,VALIDUS PHARMS,1981-03-04,베타록정(메토프롤롤타르타르산염),(주)유한양행,-2862,True
Hydrocortisone,hydrocortisone,2016-09-08,CORTEF,PHARMACIA AND UPJOHN,1981-07-20,제이알히드로코르티손연고,(주)비보존제약,-12834,True
Atropine,atropine,1999-01-07,MOTOFEN,LEGACY PHARMA,1981-05-25,삼양아트로핀주사제,삼양화학공업(주),-6436,True
Oxygen,oxygen,2013-07-23,OXYGEN,ASPEN AIR,1981-07-10,경북의료용산소,경북산소(주),-11701,True
Oxygen,oxygen,2013-07-23,OXYGEN,ASPEN AIR,1981-12-26,린데코리아의료용산소,린데코리아주식회사,-11532,True
Bupivacaine Hydrochloride Hydrate,bupivacaine,2015-07-10,SENSORCAINE MPF,FRESENIUS KABI USA,1982-10-15,푸카인0.5%주사(부피바카인염산염일수화물),이연제약(주),-11956,True
Triamcinolone Acetonide,triamcinolone acetonide,2007-11-29,TRIESENCE,HARROW EYE,1982-01-05,탐세톤40주(트리암시놀론아세토니드),한올바이오파마(주),-9459,True
Naloxone Hydrochloride,naloxone,2021-04-29,KLOXXADO,HIKMA,1982-07-05,삼진날록손염산염주사,삼진제약(주),-14178,True
Glycopyrrolate,glycopyrrolate,1983-03-02,ROBINUL,HIKMA,1982-09-14,명문모비눌주사1밀리리터(글리코피롤레이트),명문제약(주),-169,True
Heparin Sodium,heparin,1979-01-08,HEPARIN SODIUM,FRESENIUS KABI USA,1982-11-12,한림헤파린나트륨주,한림제약(주),1404,False
Oxygen,oxygen,2013-07-23,OXYGEN,ASPEN AIR,1982-01-07,호남의료용산소,호남고압가스,-11520,True
Oxygen,oxygen,2013-07-23,OXYGEN,ASPEN AIR,1982-12-02,아주의료용산소,아주산소(주),-11191,True
Praziquantel,praziquantel,1983-05-11,BILTRICIDE,BAYER HLTHCARE,1983-05-21,디스토시드정(프라지콴텔)군납명:프라지콴텔정,신풍제약(주),10,False
Lidocaine Hydrochloride Hydrate,lidocaine,2014-09-29,ZINGO,POWDER PHARMS,1983-12-16,대한리도카인염산염수화물2%주,대한약품공업(주),-11245,True
Ibuprofen,ibuprofen,2000-01-18,ADVIL COLD AND SINUS,HALEON US HOLDINGS,1983-02-01,부루펜정400밀리그램(이부프로펜),삼일제약(주),-6195,True
Desoximetasone,desoximetasone,2012-12-07,DESOXIMETASONE,TARO,1983-12-16,에스파손로션(0.25%)(데속시메타손),(주)한독,-10584,True
Doxycycline Hyclate Hydrate,doxycycline hyclate,2017-11-15,DOXYCYCLINE HYCLATE,CHARTWELL RX,1983-01-18,모노신정(독시사이클린하이클레이트수화물),고려제약(주),-12720,True
Oxygen,oxygen,2013-07-23,OXYGEN,ASPEN AIR,1983-11-17,덕양가스의료용산소,(주)덕양가스,-10841,True
Glycopyrrolate,glycopyrrolate,1983-03-02,ROBINUL,HIKMA,1984-12-15,이연글리코피롤레이트주,이연제약(주),654,False
Sodium Chloride,chloride,1981-02-23,SODIUM CHLORIDE,BAXTER HLTHCARE,1984-04-25,크린조(염화나트륨),제이더블유중외제약(주),1157,False
Ibuprofen,ibuprofen,2000-01-18,ADVIL COLD AND SINUS,HALEON US HOLDINGS,1984-02-23,스코펜정400밀리그램(이부프로펜),(주)에이프로젠바이오로직스,-5808,True
Prednisolone Acetate,prednisolone acetate,2002-12-04,PREDNISOLONE ACETATE,SANDOZ,1984-11-14,제일멸균프레드니솔론아세테이트현탁액주사(수출용),(주)제일제약,-6594,True
Epinephrine,epinephrine,2022-08-15,EPINEPHRINE,INTL MEDICATION SYS,1984-11-14,제일에피네프린주사액,(주)제일제약,-13788,True
Loperamide Hydrochloride,loperamide,1988-12-06,IMODIUM A-D,KENVUE BRANDS,1984-02-23,대화염산로페라미드캡슐(수출용)(수출명:파라닥손캡슐),대화제약(주),-1748,True
Carbamazepine,carbamazepine,2002-02-21,CARBATROL,TAKEDA PHARMS USA,1984-01-30,카르마인정(카르바마제핀)(수출용),명문제약(주),-6597,True
Triamcinolone Acetonide,triamcinolone acetonide,2007-11-29,TRIESENCE,HARROW EYE,1985-12-27,오라메디연고{수출명:오라메디파스타(ORAMEDYPASTE)},동국제약(주),-8007,True
Heparin Sodium,heparin,1979-01-08,HEPARIN SODIUM,FRESENIUS KABI USA,1985-02-01,중외헤파린나트륨주사액1000아이유,제이더블유중외제약(주),2216,False
Metformin Hydrochloride,metformin,2019-08-12,JANUMET,MSD SUB MERCK,1985-08-31,글루코닐정(메트포르민염산염),(주)셀트리온제약,-12399,True
Metformin Hydrochloride,metformin,2019-08-12,JANUMET,MSD SUB MERCK,1985-07-03,다이아벡스정500밀리그램(메트포르민염산염),(주)대웅제약,-12458,True
Tranexamic Acid,tranexamic acid,2016-05-23,TRANEXAMIC ACID,AMRING PHARMS,1985-01-04,트렌자민주250밀리그람(트라넥삼산),(주)제일제약,-11462,True
Tranexamic Acid,tranexamic acid,2016-05-23,TRANEXAMIC ACID,AMRING PHARMS,1985-01-04,트렌자민주500밀리그람(트라넥삼산),(주)제일제약,-11462,True
Desoximetasone,desoximetasone,2012-12-07,DESOXIMETASONE,TARO,1985-11-06,데타손연고0.25%(데속시메타손),동성제약(주),-9893,True
Carbamazepine,carbamazepine,2002-02-21,CARBATROL,TAKEDA PHARMS USA,1985-04-17,카마제핀정(카르바마제핀),명인제약(주),-6154,True
Pyridostigmine Bromide,pyridostigmine bromide,1995-10-24,PYRIDOSTIGMINE BROMIDE,BAUSCH,1985-07-23,피리놀정(피리도스티그민브롬화물)(수출용),명문제약(주),-3745,True
Pyridostigmine Bromide,pyridostigmine bromide,1995-10-24,PYRIDOSTIGMINE BROMIDE,BAUSCH,1985-07-26,피리놀주사(피리도스티그민브롬화물),명문제약(주),-3742,True
Baclofen,baclofen,1999-05-05,LIORESAL (BACLOFEN),AMNEAL,1985-11-05,바클란정10밀리그램(바클로펜),(주)유영제약,-4929,True
Oxybutynin Hydrochloride,oxybutynin,2017-10-24,OXYTROL,ALLERGAN,1986-11-20,동화디트로판정(옥시부티닌염산염),동화약품(주),-11296,True
Acyclovir,acyclovir,2009-07-31,XERESE,BAUSCH,1986-03-07,"에크로바주(아시클로버)(수출명:세비린주,비루헥살주)",경동제약(주),-8547,True
Acyclovir,acyclovir,2009-07-31,XERESE,BAUSCH,1986-09-08,에크로바정200밀리그램(아시클로버),경동제약(주),-8362,True
Doxylamine Succinate,doxylamine succinate,2022-02-23,BONJESTA,DUCHESNAY,1986-11-10,아졸정(독시라민석시네이트),알파제약(주),-12889,True
Loperamide Hydrochloride,loperamide,1988-12-06,IMODIUM A-D,KENVUE BRANDS,1986-03-05,지엘로페라미드염산염캡슐,지엘파마(주),-1007,True
Oxygen,oxygen,2013-07-23,OXYGEN,ASPEN AIR,1986-04-24,경남의료용산소,경남산소,-9952,True
Ibuprofen,ibuprofen,2000-01-18,ADVIL COLD AND SINUS,HALEON US HOLDINGS,1986-08-14,어린이부루펜시럽(이부프로펜),삼일제약(주),-4905,True
Glycopyrrolate,glycopyrrolate,1983-03-02,ROBINUL,HIKMA,1986-10-24,명문글리코피롤레이트정,명문제약(주),1332,False
Ibuprofen,ibuprofen,2000-01-18,ADVIL COLD AND SINUS,HALEON US HOLDINGS,1987-07-22,캐롤시럽(이부프로펜),일동제약(주),-4563,True
Tobramycin,tobramycin,2003-03-18,TOBREX,NOVARTIS,1987-09-18,토브라점안액(토브라마이신),(주)대웅제약,-5660,True
Triamcinolone Acetonide,triamcinolone acetonide,2007-11-29,TRIESENCE,HARROW EYE,1987-02-18,아비나파스타(트리암시놀론아세토니드),태극제약(주),-7589,True
Vancomycin Hydrochloride,vancomycin,2021-01-29,VANCOMYCIN HYDROCHLORIDE FOR ORAL SOLUTION,AZURITY,1987-12-21,"하노마이신정주500mg(반코마이신염산염)[수출명: VANCIN, VANOSYN]",삼진제약(주),-12093,True
Naloxone Hydrochloride,naloxone,2021-04-29,KLOXXADO,HIKMA,1987-04-22,삼진날록손염산염주사2밀리그램,삼진제약(주),-12426,True
Ibuprofen,ibuprofen,2000-01-18,ADVIL COLD AND SINUS,HALEON US HOLDINGS,1987-05-01,오스틴이부프로펜정400밀리그램,오스틴제약(주),-4645,True
Amantadine Sulfate,amantadine,2021-02-01,GOCOVRI,SUPERNUS PHARMS,1987-01-14,피케이멜즈정(아만타딘황산염),한화제약(주),-12437,True
Doxylamine Succinate,doxylamine succinate,2022-02-23,BONJESTA,DUCHESNAY,1987-02-09,자비론정(독시라민숙신산염),(주)씨엠지제약,-12798,True
Baclofen,baclofen,1999-05-05,LIORESAL (BACLOFEN),AMNEAL,1987-01-17,바크론정5밀리그람(바클로펜),(주)태준제약,-4491,True
Baclofen,baclofen,1999-05-05,LIORESAL (BACLOFEN),AMNEAL,1987-08-26,바크론정10밀리그람(바클로펜),(주)태준제약,-4270,True
Nitrous Oxide,nitrous oxide,2017-01-09,NITROUS OXIDE,MATHESON TRI-GAS INC,1987-11-30,단일의료용아산화질소,단일시스켐(주),-10633,True
Oxygen,oxygen,2013-07-23,OXYGEN,ASPEN AIR,1987-11-30,단일의료용산소,단일시스켐(주),-9367,True
Sodium Chloride,chloride,1981-02-23,SODIUM CHLORIDE,BAXTER HLTHCARE,1988-02-15,중외0.45%염화나트륨주사액,제이더블유중외제약(주),2548,False
Baclofen,baclofen,1999-05-05,LIORESAL (BACLOFEN),AMNEAL,1988-08-27,한독바클로펜정10밀리그램,(주)한독,-3903,True
Metoclopramide Hydrochloride Hydrate,metoclopramide,1982-02-25,REGLAN,ANI PHARMS,1988-05-31,맥페란주사액2밀리리터(메토클로프라미드염산염수화물),동화약품(주),2287,False
Tobramycin,tobramycin,2003-03-18,TOBREX,NOVARTIS,1988-09-27,알보젠황산토브라마이신주80밀리그램,알보젠코리아(주),-5285,True
Ibuprofen,ibuprofen,2000-01-18,ADVIL COLD AND SINUS,HALEON US HOLDINGS,1988-11-16,이부펜정400mg(이부프로펜),태극제약(주),-4080,True
Ciprofloxacin Hydrochloride,ciprofloxacin,2001-09-14,CIPROFLOXACIN HYDROCHLORIDE,SANDOZ,1988-06-28,사이톱신정(시프로플록사신염산염),에이치케이이노엔(주),-4826,True
Metformin Hydrochloride,metformin,2019-08-12,JANUMET,MSD SUB MERCK,1988-03-17,"한국유나이티드염산메트포르민정(수출명: Glumyomin Tabs., Glyzen Tabs., Metmentab., Diazen Tabs.)",한국유나이티드제약(주),-11470,True
Doxylamine Succinate,doxylamine succinate,2022-02-23,BONJESTA,DUCHESNAY,1988-10-22,스메르정(독시라민숙신산염),지엘파마(주),-12177,True
Tranexamic Acid,tranexamic acid,2016-05-23,TRANEXAMIC ACID,AMRING PHARMS,1989-03-08,신풍트라넥삼산주사500밀리그램,신풍제약(주),-9938,True
Sodium Chloride,chloride,1981-02-23,SODIUM CHLORIDE,BAXTER HLTHCARE,1989-03-10,대한염화나트륨주0.45%,대한약품공업(주),2937,False
Pilocarpine Hydrochloride,pilocarpine,2023-10-17,QLOSI,ORASIS PHARMS,1989-02-01,오큐카르핀점안액2%(필로카르핀염산염),삼일제약(주),-12676,True
Ibuprofen,ibuprofen,2000-01-18,ADVIL COLD AND SINUS,HALEON US HOLDINGS,1989-03-03,로그펜정400밀리그람(이부프로펜)(수출용),(주)마더스제약,-3973,True
Doxylamine Succinate,doxylamine succinate,2022-02-23,BONJESTA,DUCHESNAY,1989-06-05,아론정(독시라민숙신산염),알리코제약(주),-11951,True
Glycopyrrolate,glycopyrrolate,1983-03-02,ROBINUL,HIKMA,1989-01-11,삼천당글리코피롤레이트주0.2밀리그램,삼천당제약(주),2142,False
Pyridostigmine Bromide,pyridostigmine bromide,1995-10-24,PYRIDOSTIGMINE BROMIDE,BAUSCH,1989-01-10,피리도민주(피리도스티그민브롬화물),삼천당제약(주),-2478,True
Acetaminophen,acetaminophen,2020-02-28,ADVIL DUAL ACTION WITH ACETAMINOPHEN,HALEON US HOLDINGS,1989-01-24,유니온아세트아미노펜정500밀리그람(수출용),한국유니온제약(주),-11357,True
Ibuprofen,ibuprofen,2000-01-18,ADVIL COLD AND SINUS,HALEON US HOLDINGS,1989-02-02,콜대원키즈이부펜시럽(이부프로펜),대원제약(주),-4002,True
Acyclovir,acyclovir,2009-07-31,XERESE,BAUSCH,1989-06-13,"조이렉스정(아시클로버)(수출명: Herpex Tabs.200mg, Zoylin Tabs.)",한국유나이티드제약(주),-7353,True
Carbamazepine,carbamazepine,2002-02-21,CARBATROL,TAKEDA PHARMS USA,1989-11-14,대화카르바마제핀정(수출용),대화제약(주),-4482,True
Acyclovir,acyclovir,2009-07-31,XERESE,BAUSCH,1989-09-05,아크로빈정200밀리그램(아시클로버),에스케이케미칼(주),-7269,True
Hydroxocobalamin,hydroxocobalamin,2010-10-13,CYANOKIT,BTG INTL,1989-05-04,라노빈주사액(히드록소코발라민)(수출명: HYCODON Injection),알보젠코리아(주),-7832,True
Ibuprofen,ibuprofen,2000-01-18,ADVIL COLD AND SINUS,HALEON US HOLDINGS,1989-04-07,신일이부프로펜정400밀리그람(수출명:IFENTab.),신일제약(주),-3938,True
Ciprofloxacin Hydrochloride Hydrate,ciprofloxacin,2001-09-14,CIPROFLOXACIN HYDROCHLORIDE,SANDOZ,1989-01-28,후록신정(시프로플록사신염산염수화물)(수출용),(주)휴온스,-4612,True
Naloxone Hydrochloride,naloxone,2021-04-29,KLOXXADO,HIKMA,1989-03-10,휴온스날록손염산염주사(수출용),(주)휴온스,-11738,True
Dexamethasone,dexamethasone,2018-02-09,DEXYCU,EYEPOINT PHARMS,1989-12-02,페리덱스연고(덱사메타손),(주)녹십자,-10296,True
Dobutamine Hydrochloride,dobutamine,2003-07-24,DOBUTAMINE HYDROCHLORIDE IN DEXTROSE,BAXTER HLTHCARE,1990-09-18,토부렉스주(도부타민염산염),이연제약(주),-4692,True
Ciprofloxacin Hydrochloride,ciprofloxacin,2001-09-14,CIPROFLOXACIN HYDROCHLORIDE,SANDOZ,1990-05-12,싸이신정250밀리그램(시프로플록사신염산염),일동제약(주),-4143,True
Ciprofloxacin Hydrochloride,ciprofloxacin,2001-09-14,CIPROFLOXACIN HYDROCHLORIDE,SANDOZ,1990-05-12,싸이신정500밀리그램(시프로플록사신염산염),일동제약(주),-4143,True
Naloxone Hydrochloride,naloxone,2021-04-29,KLOXXADO,HIKMA,1990-03-20,명인염산나록손주0.4밀리그램(수출용),명인제약(주),-11363,True
Naloxone Hydrochloride,naloxone,2021-04-29,KLOXXADO,HIKMA,1990-03-20,명인염산나록손주2밀리그램(수출용),명인제약(주),-11363,True
Carbamazepine,carbamazepine,2002-02-21,CARBATROL,TAKEDA PHARMS USA,1990-02-10,카마제핀씨알정200밀리그램(카르바마제핀),명인제약(주),-4394,True
Ibuprofen,ibuprofen,2000-01-18,ADVIL COLD AND SINUS,HALEON US HOLDINGS,1990-08-29,파마이부프로펜정(수출명1:펜스탑정수출명2:유프로정400(UPROTab400))(수출용),(주)한국파마,-3429,True
Baclofen,baclofen,1999-05-05,LIORESAL (BACLOFEN),AMNEAL,1990-10-13,프렉스정(바클로펜),한국유나이티드제약(주),-3126,True
Ciprofloxacin Hydrochloride Hydrate,ciprofloxacin,2001-09-14,CIPROFLOXACIN HYDROCHLORIDE,SANDOZ,1990-08-13,씨록정250밀리그램(시프로플록사신염산염수화물),한국유나이티드제약(주),-4050,True
Oxygen,oxygen,2013-07-23,OXYGEN,ASPEN AIR,1990-08-07,대일의료용산소,(주)대일가스,-8386,True
Naloxone Hydrochloride,naloxone,2021-04-29,KLOXXADO,HIKMA,1991-10-04,동국염산나록손0.4밀리그람주사(프리필드)파키스탄수출용(Nalex(NaloxoneHCL)0.4mg/mlPrefilledInjection,동국제약(주),-10800,True
Acyclovir,acyclovir,2009-07-31,XERESE,BAUSCH,1991-12-02,메노바크림(아시클로버),동광제약(주),-6451,True
Sodium Chloride,chloride,1981-02-23,SODIUM CHLORIDE,BAXTER HLTHCARE,1991-11-25,대한염화나트륨액,대한약품공업(주),3927,False
Tobramycin,tobramycin,2003-03-18,TOBREX,NOVARTIS,1991-02-18,"트로나점안액(토브라마이신)(수출명:국제트로나점안액,비제토신점안액)",국제약품(주),-4411,True
Magnesium Sulfate Hydrate,magnesium,2022-01-28,SUTAB,AZURITY,1991-09-28,제일제약황산마그네슘주사액50%,(주)제일제약,-11080,True
Sodium Chloride,chloride,1981-02-23,SODIUM CHLORIDE,BAXTER HLTHCARE,1991-12-23,제일제약생리식염주사액21밀리리터(수출용),(주)제일제약,3955,False
Ibuprofen,ibuprofen,2000-01-18,ADVIL COLD AND SINUS,HALEON US HOLDINGS,1991-01-09,어린이알리펜시럽(이부프로펜)(수출명:이부돌시럽),대우제약(주),-3296,True
Ciprofloxacin Hydrochloride Hydrate,ciprofloxacin,2001-09-14,CIPROFLOXACIN HYDROCHLORIDE,SANDOZ,1991-03-27,시폭사신정250밀리그람(시프로플록사신염산염수화물),동화약품(주),-3824,True
Ciprofloxacin Hydrochloride Hydrate,ciprofloxacin,2001-09-14,CIPROFLOXACIN HYDROCHLORIDE,SANDOZ,1991-01-10,케이사신정250밀리그램(시프로플록사신염산염수화물),에스에스팜(주),-3900,True
Desoximetasone,desoximetasone,2012-12-07,DESOXIMETASONE,TARO,1991-12-13,에스파손겔0.05%(데속시메타손),(주)한독,-7665,True
Carbamazepine,carbamazepine,2002-02-21,CARBATROL,TAKEDA PHARMS USA,1991-10-24,에필렙톨씨알정(카르바마제핀),환인제약(주),-3773,True
Doxycycline Hyclate,doxycycline hyclate,2017-11-15,DOXYCYCLINE HYCLATE,CHARTWELL RX,1991-08-30,"동구독시사이클린하이클레이트캡슐(수출용)(수출명:NEUTROCYN Capsule 100mg,뉴트로신캡슐100mg)",(주)동구바이오제약,-9574,True
Vancomycin Hydrochloride,vancomycin,2021-01-29,VANCOMYCIN HYDROCHLORIDE FOR ORAL SOLUTION,AZURITY,1991-03-15,이노엔반코마이신염산염주500밀리그램,에이치케이이노엔(주),-10913,True
Sodium Chloride,chloride,1981-02-23,SODIUM CHLORIDE,BAXTER HLTHCARE,1991-08-26,이노엔생리식염관주액,에이치케이이노엔(주),3836,False
Sodium Chloride,chloride,1981-02-23,SODIUM CHLORIDE,BAXTER HLTHCARE,1991-02-26,이노엔0.9%생리식염주사액,에이치케이이노엔(주),3655,False
Sodium Chloride,chloride,1981-02-23,SODIUM CHLORIDE,BAXTER HLTHCARE,1991-02-26,이노엔0.45%생리식염주사액,에이치케이이노엔(주),3655,False
Clindamycin Phosphate,clindamycin phosphate,2023-03-06,XACIATO,ORGANON LLC,1991-06-15,훌그램주사(클린다마이신포스페이트),삼진제약(주),-11587,True
Magnesium Sulfate Hydrate,magnesium,2022-01-28,SUTAB,AZURITY,1991-06-01,마구내신주사액50%(황산마그네슘수화물),대원제약(주),-11199,True
Baclofen,baclofen,1999-05-05,LIORESAL (BACLOFEN),AMNEAL,1991-10-28,프렉스정10밀리그램(바클로펜),한국유나이티드제약(주),-2746,True
Baclofen,baclofen,1999-05-05,LIORESAL (BACLOFEN),AMNEAL,1991-10-28,프렉스정5밀리그램(바클로펜),한국유나이티드제약(주),-2746,True
Fluorouracil,fluorouracil,2013-12-12,FLUOROURACIL,EXTROVIS,1991-07-30,유토랄주250밀리그람(플루오로우라실),한국유나이티드제약(주),-8171,True
