"synonym_name","synonym_concept_code","synonym_vocabulary_id"
"BAY 806946","115","HemOnc"
"BAY806946","115","HemOnc"
"Cortisone","116","HemOnc"
"CP-868-596","117","HemOnc"
"Crenolanib","117","HemOnc"
"CP 868 596","117","HemOnc"
"CP868596","117","HemOnc"
"crizanlizumab-tmca","118","HemOnc"
"SEG101","118","HemOnc"
"Crizanlizumab","118","HemOnc"
"SEG-101","118","HemOnc"
"SEG 101","118","HemOnc"
"PF02341066","119","HemOnc"
"PF-02341066","119","HemOnc"
"Crizotinib","119","HemOnc"
"PF 02341066","119","HemOnc"
"OGX-011","120","HemOnc"
"Custirsen","120","HemOnc"
"OGX 011","120","HemOnc"
"OGX011","120","HemOnc"
"CC-8490","120","HemOnc"
"CC 8490","120","HemOnc"
"CC8490","120","HemOnc"
"vitamin B12","121","HemOnc"
"vitamin B-12","121","HemOnc"
"cobalamin","121","HemOnc"
"Cyanocobalamin","121","HemOnc"
"CPM","122","HemOnc"
"Asta B 518","122","HemOnc"
"WR-138719","122","HemOnc"
"CP monohydrate","122","HemOnc"
"cyclophosphamid monohydrate","122","HemOnc"
"cyclophosphamide monohydrate","122","HemOnc"
"B-518","122","HemOnc"
"Cyclophosphamide","122","HemOnc"
"WR 138719","122","HemOnc"
"B 518","122","HemOnc"
"WR138719","122","HemOnc"
"B518","122","HemOnc"
"Cyclosporine modified","123","HemOnc"
"Cyclosporine non-modified","124","HemOnc"
"Cyproterone acetate","125","HemOnc"
"arabinofuranosyl cytidine","126","HemOnc"
"Ara-C","126","HemOnc"
"cytosine arabinoside","126","HemOnc"
"arabinosylcytosine","126","HemOnc"
"Cytarabine","126","HemOnc"
"CPX-351","127","HemOnc"
"Cytarabine and daunorubicin liposomal","127","HemOnc"
"CPX 351","127","HemOnc"
"CPX351","127","HemOnc"
"Liposomal Ara-C","128","HemOnc"
"Cytarabine liposomal","128","HemOnc"
"Cytomegalovirus Immune Globulin","129","HemOnc"
"Dabigatran","130","HemOnc"
"GSK-2118436A","131","HemOnc"
"GSK2118436","131","HemOnc"
"dabrafenib mesylate","131","HemOnc"
"Dabrafenib","131","HemOnc"
"GSK-2118436","131","HemOnc"
"GSK 2118436A","131","HemOnc"
"GSK 2118436","131","HemOnc"
"GSK2118436A","131","HemOnc"
"imidazole carboxamide","132","HemOnc"
"DTIC","132","HemOnc"
"dacarbazin","132","HemOnc"
"Dacarbazine","132","HemOnc"
"PF-00299804","133","HemOnc"
"Dacomitinib","133","HemOnc"
"PF 00299804","133","HemOnc"
"PF00299804","133","HemOnc"
"AC-DE","134","HemOnc"
"actinomycin D","134","HemOnc"
"Dactinomycin","134","HemOnc"
"Dalteparin","135","HemOnc"
"Danaparoid","136","HemOnc"
"Danazol","137","HemOnc"
"Dapsone","138","HemOnc"
"JNJ-54767414","139","HemOnc"
"daratumumab-fihj","139","HemOnc"
"Daratumumab","139","HemOnc"
"JNJ 54767414","139","HemOnc"
"JNJ54767414","139","HemOnc"
"Darbepoetin alfa","140","HemOnc"
"ODM-201","141","HemOnc"
"BAY-1841788","141","HemOnc"
"Darolutamide","141","HemOnc"
"ODM 201","141","HemOnc"
"BAY 1841788","141","HemOnc"
"ODM201","141","HemOnc"
"BAY1841788","141","HemOnc"
"BMS-354825","142","HemOnc"
"Dasatinib","142","HemOnc"
"BMS 354825","142","HemOnc"
"BMS354825","142","HemOnc"
"daunomycin","143","HemOnc"
"Daunorubicin","143","HemOnc"
"daunorubicin citrate liposome injection","144","HemOnc"
"Daunorubicin liposomal","144","HemOnc"
"5-aza-2'-deoxycytidine","145","HemOnc"
"Decitabine","145","HemOnc"
"Deferasirox","146","HemOnc"
"Deferiprone","148","HemOnc"
"desferrioxamine B","149","HemOnc"
